	### MEDIUM ###
equipments = {
	medium_tank_equipment_1 = {
		year = 1936

		archetype = medium_tank_equipment
		priority = 50
		visual_level = 1
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 5

		armor_value = 45
		ap_attack = 40

		defense = 7
		breakthrough = 35
		soft_attack = 18
		hard_attack = 14

		build_cost_ic = 30
	
	}
	
	medium_tank_equipment_2 = {
		year = 1940

		archetype = medium_tank_equipment
		parent = medium_tank_equipment_1
		priority = 50
		visual_level = 1
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 6

		armor_value = 55
		ap_attack = 50

		defense = 8
		breakthrough = 45
		soft_attack = 22
		hard_attack = 18

		build_cost_ic = 32
	}
	
	medium_tank_equipment_3 = {
		year = 1942

		archetype = medium_tank_equipment
		parent = medium_tank_equipment_2
		priority = 50
		visual_level = 1
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 6.5

		armor_value = 65
		ap_attack = 60

		defense = 9
		breakthrough = 55
		soft_attack = 26
		hard_attack = 22
		
		build_cost_ic = 33
	}
	
	medium_tank_equipment_4 = {
		year = 1944

		archetype = medium_tank_equipment
		parent = medium_tank_equipment_3
		priority = 50
		visual_level = 1
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 7

		armor_value = 75
		ap_attack = 70

		defense = 11
		breakthrough = 65
		soft_attack = 30
		hard_attack = 26

		build_cost_ic = 34
	}

	### HEAVY ###
	
	heavy_tank_equipment_1 = {
		year = 1935

		archetype = heavy_tank_equipment
		priority = 50
		visual_level = 1
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 4

		armor_value = 50
		ap_attack = 40

		defense = 8
		breakthrough = 50
		soft_attack = 20
		hard_attack = 16

		build_cost_ic = 50
	}
	
	heavy_tank_equipment_2 = {
		year = 1941

		archetype = heavy_tank_equipment
		parent = heavy_tank_equipment_1
		priority = 50
		visual_level = 1
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 4.2

		armor_value = 80
		ap_attack = 75

		defense = 12
		breakthrough = 70
		soft_attack = 34
		hard_attack = 32

		build_cost_ic = 66
	}
	
	heavy_tank_equipment_3 = {
		year = 1943

		archetype = heavy_tank_equipment
		parent = heavy_tank_equipment_2
		priority = 50
		visual_level = 2
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 4.5

		armor_value = 90
		ap_attack = 85

		defense = 14
		breakthrough = 80
		soft_attack = 38
		hard_attack = 36

		build_cost_ic = 68
	}
	
	heavy_tank_equipment_4 = {
		year = 1945

		archetype = heavy_tank_equipment
		parent = heavy_tank_equipment_3
		priority = 50
		visual_level = 1
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 4.8

		armor_value = 100
		ap_attack = 95

		defense = 16
		breakthrough = 90
		soft_attack = 44
		hard_attack = 42

		build_cost_ic = 70
	}
	
	### LIGHT ###
	
	light_tank_equipment_1 = {
		year = 1936

		archetype = light_tank_equipment
		priority = 50
		visual_level = 1
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 6.5

		armor_value = 10
		ap_attack = 25

		defense = 5
		breakthrough = 30
		soft_attack = 14
		hard_attack = 4

		build_cost_ic = 14
		
	}
	
	light_tank_equipment_2 = {
		year = 1938

		archetype = light_tank_equipment
		parent = light_tank_equipment_1
		priority = 50
		visual_level = 1
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 7.0

		armor_value = 15
		ap_attack = 30

		defense = 6
		breakthrough = 35
		soft_attack = 16
		hard_attack = 5

		build_cost_ic = 15
			
	}
	
	light_tank_equipment_3 = {
		year = 1940

		archetype = light_tank_equipment
		parent = light_tank_equipment_2
		priority = 50
		visual_level = 1
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 7.5

		armor_value = 20
		ap_attack = 35

		defense = 7
		breakthrough = 40
		soft_attack = 18
		hard_attack = 6

		build_cost_ic = 16
			
	}
	
	light_tank_equipment_4 = {
		year = 1942

		archetype = light_tank_equipment
		parent = light_tank_equipment_3
		priority = 50
		visual_level = 2
		is_convertable = yes
						
		#Misc Abilities
		maximum_speed = 8.0

		armor_value = 30
		ap_attack = 45

		defense = 8
		breakthrough = 50
		soft_attack = 22
		hard_attack = 8

		build_cost_ic = 18
			
	}
	
	light_td_equipment_1 = {
		year = 1939

		archetype = light_tank_destroyer_equipment
		family = light_tank_equipment_1
		priority = 80
		visual_level = 0
		can_convert_from = { 
			gen_light_tank_equipment_1
		}

		#Misc Abilities
		maximum_speed = 7.0

		ap_attack = 65
		armor_value = 15

		#Offensive Abilities
		soft_attack = 2
		hard_attack = 18
		
		build_cost_ic = 18
		
	}
	
	light_td_equipment_2 = {
		year = 1941

		archetype = light_tank_destroyer_equipment
		parent = light_td_equipment_1
		family = light_tank_equipment_2
		priority = 80
		visual_level = 0
		can_convert_from = { 
			gen_light_tank_equipment_2
		}

		#Misc Abilities
		maximum_speed = 8.0

		ap_attack = 75
		armor_value = 10

		#Offensive Abilities
		soft_attack = 14
